Baja;Codigo_Colaborador;Codigo_Medida;Codigo_Sociedad;Codigo_Division_Personal;Codigo_Area_Personal;Codigo_SubDiv;Codigo_Nomina;Codigo_Relacion_Laboral;Codigo_Centro_Costo;Codigo_Estructura_Organizativa;Codigo_Posicion;Sexo;Edad_Empleado;Salario_Q_Normalizado;Codigo_Empresa;Grado_Hay_Limpio;Duracion_Anios
0;100031;1;4;91;26;248;14;1;348;598;97;2;41;1.7125;11;15;2.9863
0;100033;1;4;91;26;248;14;1;357;350;48;1;39;0.48;11;13;2.96164
0;100034;1;4;91;26;248;14;1;357;348;91;1;31;1.85;11;15;2.96164
0;100038;1;4;91;26;248;14;1;373;336;28;2;34;1.505;11;14;2.91507
0;100042;1;16;9;26;13;16;1;592;417;8;2;50;1.386;3;14;2.90411
0;100051;1;6;14;26;10;13;1;449;385;90;1;46;2.3425;7;16;2.81918
0;100054;1;6;14;26;5;13;1;400;380;4;1;31;0.703;7;12;2.78904
0;100055;1;4;91;26;248;14;1;359;350;48;1;44;0.465;11;13;2.78082
0;100060;1;4;91;26;248;14;1;364;347;4;1;34;0.75;11;12;2.73151
0;100062;1;6;14;26;5;13;1;443;374;90;1;35;2.57;7;15;2.73151
0;100066;1;6;14;26;5;13;1;401;391;4;1;31;0.9575;7;12;2.70137
0;100068;1;6;14;26;10;13;1;424;392;4;1;26;0.92;7;12;2.70137
0;100080;1;6;13;26;6;13;1;408;384;4;1;26;0.703;7;12;2.65205
0;100081;1;5;15;26;20;2;1;382;353;4;1;30;0.66;11;12;2.65205
0;100082;1;6;14;26;10;13;1;455;644;32;2;37;1.98;7;15;2.67123
0;100085;1;6;13;26;6;13;1;405;381;4;2;29;0.775;7;12;2.63288
0;100087;1;4;91;26;248;14;1;373;336;4;2;29;0.6425;11;12;2.63014
0;100088;1;4;91;26;248;14;1;351;334;4;2;26;0.6975;11;12;2.63014
0;100089;1;6;13;26;6;13;1;432;603;4;1;31;0.67;7;11;2.63562
0;100090;1;4;91;26;248;14;1;359;348;91;1;34;1.85;11;15;2.61644
0;100096;1;6;13;26;6;13;1;413;383;4;2;34;0.775;7;12;2.59452
0;100097;1;6;14;26;10;13;1;435;594;6;1;32;2.55;7;16;2.59726
0;100098;1;4;91;26;248;14;1;373;336;4;2;37;0.6425;11;12;2.57534
0;100099;1;5;15;26;20;2;1;377;353;45;2;51;8.03;11;20;2.57534
0;100100;1;4;91;26;248;14;1;350;345;4;2;23;0.7;11;11;2.5589
0;100102;1;6;14;26;5;13;1;394;595;10;1;42;0.5;7;9;2.57534
0;100104;1;6;14;26;5;13;1;400;380;4;1;25;0.703;7;12;2.5589
0;100105;1;13;63;26;186;10;1;558;413;32;1;31;1.22;4;14;2.55616
0;100111;1;1;34;26;136;6;1;323;304;59;1;37;3.99;8;17;2.51781
0;100118;1;5;15;26;20;2;1;382;352;59;1;38;3.105;11;18;2.49315
0;100120;11;1;59;17;124;6;1;261;609;59;1;27;1.685;8;15;2.48219
0;100123;1;13;62;26;187;10;1;563;409;137;1;37;1.825;4;15;2.46301
0;100124;1;13;63;26;186;10;1;559;406;140;2;24;0.4775;4;10;2.46301
0;100128;1;14;90;26;249;8;1;582;374;137;1;28;1.6;7;15;2.40274
0;100134;1;5;15;26;20;2;1;379;360;51;2;42;0.42;11;10;2.36712
0;100135;1;5;15;26;20;2;1;382;353;145;2;34;0.8575;11;13;2.36712
0;100139;1;4;91;26;248;14;1;364;347;4;1;36;0.6;11;12;2.34795
0;100141;1;1;58;16;135;6;1;287;653;59;2;29;0.882;8;12;2.34795
0;100146;1;3;11;26;14;11;1;341;399;90;1;41;1.98;12;16;2.32877
0;100150;1;3;11;26;14;11;1;341;399;27;2;31;1.0925;12;13;2.32329
0;100155;1;3;11;26;14;11;1;342;400;4;2;29;0.69;12;10;2.29041
0;100156;1;1;34;26;136;6;1;295;628;52;1;32;1.345;8;14;2.30959
0;100157;1;6;13;26;6;13;1;431;385;184;1;42;0.55;7;11;2.29863
0;100159;1;4;91;26;248;14;1;357;350;48;1;39;0.49;11;13;2.28219
0;100171;1;1;34;26;136;6;1;329;297;32;1;32;2.6;8;16;2.27123
0;100173;1;3;11;26;14;11;1;339;397;32;2;50;1.4;12;15;2.27123
0;100174;1;4;91;26;248;14;1;357;349;48;1;38;0.49;11;13;2.26575
0;100178;1;13;62;26;187;10;1;567;404;4;1;30;1.0275;4;12;2.26575
0;100179;1;6;14;26;10;13;1;397;637;32;1;31;1.4;7;14;2.24658
0;100180;1;6;13;26;6;13;1;448;385;184;1;26;0.8;7;12;2.25205
0;100181;1;6;13;26;6;13;1;447;634;4;1;37;0.8;7;11;2.25205
0;100182;1;3;11;26;14;11;1;340;398;32;1;28;1.375;12;15;2.2411
0;100184;1;4;91;26;248;14;1;357;350;48;1;31;0.5;11;13;2.2411
0;100186;1;1;17;17;78;6;1;144;429;59;2;31;1.125;8;13;2.22466
0;100187;1;1;16;17;75;6;1;135;428;59;1;32;1.125;8;13;2.23288
0;100188;11;1;85;29;48;6;1;60;500;59;2;26;1.01;8;13;2.23288
0;100189;11;1;16;17;40;6;1;42;427;59;1;35;1.345;8;14;2.23288
0;100191;1;4;91;26;248;14;1;357;349;90;2;40;2;11;16;2.2411
0;100194;10;1;47;16;53;6;1;72;436;59;1;28;0.786;8;12;2.23288
0;100195;1;13;62;26;187;10;1;562;405;32;1;30;1.42;4;14;2.23288
0;100198;1;16;9;26;13;16;1;602;418;90;1;31;2.5;3;16;2.2137
0;100201;11;1;32;17;58;6;1;86;533;59;1;29;1.685;8;15;2.22192
0;100202;1;1;34;26;136;6;1;309;297;32;2;36;1.8;8;14;2.23288
0;100204;1;5;15;26;20;2;1;377;353;52;1;41;2.1;11;15;2.2137
0;100209;1;1;34;26;136;6;1;325;309;32;2;33;1.8;8;14;2.17534
0;100213;1;6;14;26;10;13;1;402;379;4;1;26;0.703;7;12;2.17534
0;100240;1;6;14;26;5;13;1;394;595;145;1;30;0.6;7;11;2.15342
0;100243;1;6;14;26;10;13;1;402;379;4;2;27;0.775;7;12;2.11781
0;100247;1;4;91;26;248;14;1;354;597;90;2;40;1.62;11;14;2.11233
0;100252;1;6;13;26;6;13;1;426;385;184;1;31;0.6175;7;11;2.08767
0;100257;1;4;91;26;248;14;1;357;350;90;1;46;2.42;11;16;2.07397
0;100259;1;4;91;26;248;14;1;364;347;55;1;38;0.43;11;10;2.07123
0;100260;1;6;14;26;5;13;1;433;385;184;1;26;0.48;7;10;2.08767
0;100263;1;4;91;26;248;14;1;357;350;48;1;35;0.5125;11;13;2.07945
0;100276;1;13;63;26;186;10;1;558;413;30;1;29;0.945;4;12;2.01644
0;100279;1;4;91;26;248;14;1;355;336;32;2;29;1.15;11;13;2.02192
0;100280;1;4;91;26;248;14;1;347;335;30;2;27;1;11;13;2.00274
0;100281;1;13;62;26;187;10;1;563;409;90;1;43;2.465;4;16;2.03288
0;100286;1;16;9;26;13;16;1;599;419;32;1;30;1.605;3;14;1.93425
0;100287;1;1;44;26;137;6;1;317;306;32;2;26;1.225;8;13;1.92603
0;100288;1;3;11;26;14;11;1;342;400;135;2;26;0.965;12;13;1.92603
