Codigo_Colaborador;Codigo_Medida;Codigo_Sociedad;Codigo_Division_Personal;Codigo_Area_Personal;Codigo_SubDiv;Codigo_Nomina;Codigo_Relacion_Laboral;Codigo_Centro_Costo;Codigo_Estructura_Organizativa;Codigo_Posicion;Sexo;Edad_Empleado;Salario_Q_Normalizado;Codigo_Empresa;Grado_Hay_Limpio;Duracion_Anios;Baja
30919;10;1;87;15;116;6;1;244;509;59;1;24;0.693;8;11;5.23014;1
30921;1;1;87;29;116;6;1;244;509;59;1;25;0.7825;8;11;5.1863;1
30930;1;5;15;26;20;2;1;377;353;129;1;28;1.26;11;15;4.39726;1
30935;1;4;91;26;248;14;1;355;336;10;1;34;0.41;11;10;3.60274;1
30963;1;5;15;26;20;2;1;383;348;91;2;44;1.75;11;15;4.35068;1
30967;11;1;87;15;116;6;1;244;509;59;2;25;0.6229;8;11;5.23288;0
30984;1;3;11;26;14;11;1;342;400;32;1;37;1.43;12;15;5.18082;0
31833;11;1;44;15;117;6;1;247;616;59;2;22;0.705;8;11;5.21096;0
31862;1;4;91;26;248;14;1;357;350;48;1;31;0.48;11;13;5.2;0
31892;1;1;33;33;73;6;1;300;447;185;1;23;0.6015;8;11;5.17534;1
31897;10;1;33;16;73;6;1;128;447;59;2;22;0.895;8;12;5.1863;0
31913;11;1;21;15;111;6;1;234;483;59;1;21;0.735;8;11;4.26301;1
31920;10;1;42;15;74;6;1;131;489;59;2;23;0.6229;8;11;5.17808;0
31944;1;1;26;15;112;6;1;236;497;59;1;24;0.6229;8;11;5;1
31958;1;13;63;26;186;10;1;556;411;30;1;33;0.9025;4;13;5.17808;0
31961;1;1;41;15;109;6;1;229;486;59;1;24;0.705;8;11;5.1726;0
31979;11;1;87;15;116;6;1;244;509;59;1;24;0.6229;8;11;5.16712;0
32013;10;1;32;15;88;6;1;169;532;59;1;24;0.705;8;11;5.14795;0
32016;11;1;37;15;87;6;1;167;442;59;1;26;0.705;8;11;5.15342;0
32022;1;1;35;29;27;6;1;9;518;59;2;24;0.735;8;12;5.15342;0
32051;1;6;14;26;10;13;1;398;375;45;1;41;12.432;7;21;5.18082;0
32071;1;9;60;26;173;9;1;471;364;145;1;36;0.45;11;12;4.10959;1
32088;1;6;14;26;10;13;1;407;382;4;1;31;0.703;7;10;5.10411;0
32102;1;1;47;15;110;6;1;232;437;59;1;22;0.705;8;11;5.07945;1
32114;11;1;44;15;60;6;1;91;528;59;2;23;0.6229;8;11;5.13151;0
32126;1;6;13;26;6;13;1;406;380;10;1;26;0.59;7;10;5.13151;0
32179;10;1;55;29;86;6;1;164;503;59;1;22;0.7825;8;11;5.12603;0
32199;10;1;34;29;35;6;1;31;443;59;2;21;0.7825;8;11;5.11233;0
32233;11;1;41;15;91;6;1;179;471;59;1;23;0.705;8;11;5.09863;0
32243;1;5;15;26;20;2;1;377;353;32;1;32;1.4;11;14;5.10411;0
32285;11;1;40;15;100;6;1;203;469;59;2;22;1.13;8;11;3.90137;1
32312;1;1;47;33;53;6;1;302;436;185;1;21;0.565;8;11;4.10685;1
32334;1;9;60;26;173;9;1;471;365;51;1;23;0.48;11;10;4.90137;1
32340;1;5;15;26;20;2;1;382;353;145;1;32;0.45;11;12;3.85753;1
32377;1;9;60;26;173;9;1;468;591;86;1;38;0.3975;11;10;4.83288;1
32391;1;4;91;26;248;14;1;364;347;10;1;38;0.43;11;10;4.06027;1
32395;1;3;11;26;14;11;1;341;399;32;1;41;1.4;12;13;5.00822;0
32398;1;13;63;26;186;10;1;573;611;30;2;36;1.018;4;13;3.95616;1
32413;1;3;11;26;14;11;1;341;399;47;1;35;1.61;12;13;4.30959;1
32438;10;1;59;15;124;6;1;261;609;59;2;21;0.6229;8;11;4.52603;1
32439;1;4;91;26;248;14;1;366;343;4;1;34;0.475;11;11;3.23562;1
32444;1;4;91;26;248;14;1;370;340;51;1;26;0.375;11;10;3.77808;1
32459;1;1;110;29;128;6;1;271;622;59;1;23;0.7825;8;12;4.85205;1
32499;11;1;110;15;128;6;1;271;622;59;1;22;0.6229;8;11;4.88767;1
32602;11;1;34;15;35;6;1;31;443;59;2;21;0.705;8;11;4.38082;1
32604;1;6;13;26;6;13;1;422;386;30;1;38;1.82;7;15;4.85479;0
32608;10;1;42;15;133;6;1;284;649;59;1;21;0.705;8;11;4.88767;0
32667;11;1;38;15;54;6;1;76;441;59;1;21;0.6229;8;11;4.87123;0
32669;1;1;47;33;53;6;1;302;436;185;2;23;0.6015;8;11;4.86027;1
32674;1;1;47;15;80;6;1;149;453;59;2;25;0.6229;8;11;4.87123;0
32680;1;6;14;26;10;13;1;402;379;32;2;27;1.2;7;13;4.85205;0
32695;1;3;11;26;14;11;1;341;399;7;1;58;1.1475;12;13;4.85205;0
32713;1;4;91;26;248;14;1;347;335;84;2;32;3;11;16;4.86849;0
32730;1;13;63;26;186;10;1;558;413;32;2;35;1.625;4;14;4.85205;0
32741;1;4;91;26;248;14;1;370;340;4;2;30;0.53;11;12;4.86849;0
32744;1;4;91;26;248;14;1;355;336;8;1;32;0.485;11;11;4.86849;0
32756;1;1;43;15;69;6;1;115;463;59;2;23;0.705;8;11;4.80274;1
32796;10;1;42;36;72;6;1;124;490;59;1;21;0.7825;8;12;4.83014;0
32851;1;1;85;15;106;6;1;220;502;59;2;24;0.56;8;11;2.88767;1
32861;1;4;91;26;248;14;1;350;345;59;1;44;3.7;11;18;3.00548;1
32874;1;1;12;36;126;6;1;267;614;59;1;22;1.482;8;12;4.80274;0
32894;1;4;91;26;248;14;1;374;341;32;2;42;1.25;11;13;4.80822;0
32906;1;4;91;26;248;14;1;351;334;45;1;49;12.405;11;20;3.00274;1
32911;1;1;21;15;111;6;1;234;483;59;1;21;0.705;8;11;4.79452;0
32912;1;1;21;15;111;6;1;234;483;59;2;23;0.705;8;11;4.79452;0
32940;1;1;44;15;117;6;1;247;616;59;2;20;0.626;8;11;4.71233;1
32957;1;4;91;26;248;14;1;364;347;59;2;49;2.48;11;17;4.37808;1
32985;1;4;91;26;248;14;1;348;598;184;2;27;0.83;11;12;4.7589;0
32988;1;4;91;26;248;14;1;357;349;48;2;25;0.49;11;13;4.7589;0
